user,rating,review,date,clean_review,tokens
Steven Elly,5,"hallo brimo, ini kenapa ya untuk menu pembayaran cicilan finance yang sudah terdaftar tidak dapat di akses, saat mau ngecek cicilan ada notif ""nomor yang anda masukkan salah, mohon periksa kembali"" tolong dibantu kendalanya",2026-03-02 14:00:41,hallo brimo ini kenapa ya untuk menu pembayaran cicilan finance yang sudah terdaftar tidak dapat di akses saat mau ngecek cicilan ada notif nomor yang anda masukkan salah mohon periksa kembali tolong dibantu kendalanya,"['hallo', 'brimo', 'ini', 'kenapa', 'ya', 'untuk', 'menu', 'pembayaran', 'cicilan', 'finance', 'yang', 'sudah', 'terdaftar', 'tidak', 'dapat', 'di', 'akses', 'saat', 'mau', 'ngecek', 'cicilan', 'ada', 'notif', 'nomor', 'yang', 'anda', 'masukkan', 'salah', 'mohon', 'periksa', 'kembali', 'tolong', 'dibantu', 'kendalanya']"
Asep Aden,5,gacorr,2026-03-02 13:59:01,gacorr,['gacorr']
Fadila Kairunisa,5,bagus sekali,2026-03-02 13:51:19,bagus sekali,"['bagus', 'sekali']"
Murdan iff,5,tidak bikin ribet,2026-03-02 13:51:17,tidak bikin ribet,"['tidak', 'bikin', 'ribet']"
sadut bleck,5,mantap,2026-03-02 13:50:23,mantap,['mantap']
Nurul Hidayah,5,proses mudah dan sangat membantu 🙏,2026-03-02 13:43:01,proses mudah dan sangat membantu ,"['proses', 'mudah', 'dan', 'sangat', 'membantu']"
BU EMI Lesta lestari,5,mudah terpercaya dan aman,2026-03-02 13:35:02,mudah terpercaya dan aman,"['mudah', 'terpercaya', 'dan', 'aman']"
aemfoaive (AF),1,"saya mau login, pas foto KTP aman, tapi pas verifikasi wajah ada kesalahan sistem. kesalahan sistem nya nggak cuma 1 kali, tapi sampai 3 kali. saya login nggak cuma di hp tapi juga di tab hasilnya sama. di hp katanya koneksi jaringan buruk, padahal nggak, bahkan pake data internet tetep sama. sekarang karna udah dibuat login berulang akhirnya kena peringatan terlalu banyak login. gimana sih brimo? gajelas.",2026-03-02 13:32:35,saya mau login pas foto ktp aman tapi pas verifikasi wajah ada kesalahan sistem kesalahan sistem nya nggak cuma  kali tapi sampai  kali saya login nggak cuma di hp tapi juga di tab hasilnya sama di hp katanya koneksi jaringan buruk padahal nggak bahkan pake data internet tetep sama sekarang karna udah dibuat login berulang akhirnya kena peringatan terlalu banyak login gimana sih brimo gajelas,"['saya', 'mau', 'login', 'pas', 'foto', 'ktp', 'aman', 'tapi', 'pas', 'verifikasi', 'wajah', 'ada', 'kesalahan', 'sistem', 'kesalahan', 'sistem', 'nya', 'nggak', 'cuma', 'kali', 'tapi', 'sampai', 'kali', 'saya', 'login', 'nggak', 'cuma', 'di', 'hp', 'tapi', 'juga', 'di', 'tab', 'hasilnya', 'sama', 'di', 'hp', 'katanya', 'koneksi', 'jaringan', 'buruk', 'padahal', 'nggak', 'bahkan', 'pake', 'data', 'internet', 'tetep', 'sama', 'sekarang', 'karna', 'udah', 'dibuat', 'login', 'berulang', 'akhirnya', 'kena', 'peringatan', 'terlalu', 'banyak', 'login', 'gimana', 'sih', 'brimo', 'gajelas']"
Pondok Pondok,5,ok,2026-03-02 13:30:59,ok,['ok']
I Gede Sadia UtamaYT,1,"Delay, proses lama",2026-03-02 13:22:22,delay proses lama,"['delay', 'proses', 'lama']"
madhan putra14,4,Good,2026-03-02 13:20:28,good,['good']
Dimas Fernando,5,min tolong brimo saya kok gabisa masuk udh 2 kali kek gini min pas masuk mental masuk mental,2026-03-02 13:17:36,min tolong brimo saya kok gabisa masuk udh  kali kek gini min pas masuk mental masuk mental,"['min', 'tolong', 'brimo', 'saya', 'kok', 'gabisa', 'masuk', 'udh', 'kali', 'kek', 'gini', 'min', 'pas', 'masuk', 'mental', 'masuk', 'mental']"
Novie Suganda,5,top mantep,2026-03-02 13:12:04,top mantep,"['top', 'mantep']"
Suardi,5,"sudah cukup baik,,membuat tiap transaksi lebih mudah",2026-03-02 13:10:00,sudah cukup baikmembuat tiap transaksi lebih mudah,"['sudah', 'cukup', 'baikmembuat', 'tiap', 'transaksi', 'lebih', 'mudah']"
Chairani Salsabila,5,top,2026-03-02 13:06:01,top,['top']
Sri Utami,5,mudah digunakan untuk bertransaksi...🙏,2026-03-02 13:05:15,mudah digunakan untuk bertransaksi,"['mudah', 'digunakan', 'untuk', 'bertransaksi']"
Zaky Wahyu,5,keren...,2026-03-02 13:02:45,keren,['keren']
Anggi Oktaviani,5,mantap,2026-03-02 13:01:49,mantap,['mantap']
bad badtz-maru,5,memudahkan,2026-03-02 12:59:18,memudahkan,['memudahkan']
Najwa Son,5,bagus,2026-03-02 12:58:22,bagus,['bagus']
Trimawan Azmi,5,sangat baik untuk setiap transaksi,2026-03-02 12:56:10,sangat baik untuk setiap transaksi,"['sangat', 'baik', 'untuk', 'setiap', 'transaksi']"
Soja Lase,5,top,2026-03-02 12:56:02,top,['top']
sarman amang longi,4,4 dulu,2026-03-02 12:54:00, dulu,['dulu']
Agus Gunawan,5,sangat membantu sekali bisa transaksi dimana saja.,2026-03-02 12:52:56,sangat membantu sekali bisa transaksi dimana saja,"['sangat', 'membantu', 'sekali', 'bisa', 'transaksi', 'dimana', 'saja']"
khadafi Satria,5,Error mulu,2026-03-02 12:52:49,error mulu,"['error', 'mulu']"
Hasrul Lhulu,5,sangat membantu,2026-03-02 12:52:45,sangat membantu,"['sangat', 'membantu']"
Mr. Baso,5,Bermanfaat,2026-03-02 12:50:30,bermanfaat,['bermanfaat']
Rizkiseptian Adipratama,1,"saldo tiba tiba ilang di brimo, padahal ga bisa login, sekalinya bisa login, uang udah ditransfer ke orang lain, gokil juga brimo ya",2026-03-02 12:43:08,saldo tiba tiba ilang di brimo padahal ga bisa login sekalinya bisa login uang udah ditransfer ke orang lain gokil juga brimo ya,"['saldo', 'tiba', 'tiba', 'ilang', 'di', 'brimo', 'padahal', 'ga', 'bisa', 'login', 'sekalinya', 'bisa', 'login', 'uang', 'udah', 'ditransfer', 'ke', 'orang', 'lain', 'gokil', 'juga', 'brimo', 'ya']"
Syalom Manis,5,ini knpaa brimo smkin ksini klo buka apk.nya suka lamaaa..ngebug..pdhal baru di update..bukanya mlah simpel jdi lamaa,2026-03-02 12:39:09,ini knpaa brimo smkin ksini klo buka apknya suka lamaaangebugpdhal baru di updatebukanya mlah simpel jdi lamaa,"['ini', 'knpaa', 'brimo', 'smkin', 'ksini', 'klo', 'buka', 'apknya', 'suka', 'lamaaangebugpdhal', 'baru', 'di', 'updatebukanya', 'mlah', 'simpel', 'jdi', 'lamaa']"
pt Werdi,3,sering tidak bisa dibuka aplikasinya,2026-03-02 12:38:41,sering tidak bisa dibuka aplikasinya,"['sering', 'tidak', 'bisa', 'dibuka', 'aplikasinya']"
Alwi Qosim,5,mudah,2026-03-02 12:37:35,mudah,['mudah']
Izhaq 79,5,ok,2026-03-02 12:35:33,ok,['ok']
Adam Adam,5,biar yg berbicara Pokonya oke dah,2026-03-02 12:32:21,biar yg berbicara pokonya oke dah,"['biar', 'yg', 'berbicara', 'pokonya', 'oke', 'dah']"
Marseldian Pratama,2,hallo kak.. saya pengguna BRIMO sudah beberapa tahun. baru kali ini Brimo saya tidak bisa log in sampai 1 bulan.. mohon untuk dibantu.,2026-03-02 12:31:47,hallo kak saya pengguna brimo sudah beberapa tahun baru kali ini brimo saya tidak bisa log in sampai  bulan mohon untuk dibantu,"['hallo', 'kak', 'saya', 'pengguna', 'brimo', 'sudah', 'beberapa', 'tahun', 'baru', 'kali', 'ini', 'brimo', 'saya', 'tidak', 'bisa', 'log', 'in', 'sampai', 'bulan', 'mohon', 'untuk', 'dibantu']"
Muhamad Ilmi,5,"Pelayanan sangat baik, dan kami sangat terbantu sekali, terimakasih,, 🙏",2026-03-02 12:31:11,pelayanan sangat baik dan kami sangat terbantu sekali terimakasih ,"['pelayanan', 'sangat', 'baik', 'dan', 'kami', 'sangat', 'terbantu', 'sekali', 'terimakasih']"
Haris Haris,5,menyenangkan dan praktis,2026-03-02 12:30:51,menyenangkan dan praktis,"['menyenangkan', 'dan', 'praktis']"
Adrinnapis Syafira,1,lama lama bikin kesal tolong diperbaiki kalo gak dibuka 2 hari layar putih blank harus instal ulang lagi capek dehhhh,2026-03-02 12:28:44,lama lama bikin kesal tolong diperbaiki kalo gak dibuka  hari layar putih blank harus instal ulang lagi capek dehhhh,"['lama', 'lama', 'bikin', 'kesal', 'tolong', 'diperbaiki', 'kalo', 'gak', 'dibuka', 'hari', 'layar', 'putih', 'blank', 'harus', 'instal', 'ulang', 'lagi', 'capek', 'dehhhh']"
Budiman Budiyansah,5,sangat membantu,2026-03-02 12:26:42,sangat membantu,"['sangat', 'membantu']"
Bani Naura,5,memuaskan aplikasi nya,2026-03-02 12:24:50,memuaskan aplikasi nya,"['memuaskan', 'aplikasi', 'nya']"
Rizki Agustian,5,sangat baik,2026-03-02 12:19:39,sangat baik,"['sangat', 'baik']"
Mrzen Penjen,5,bagus,2026-03-02 12:16:54,bagus,['bagus']
Nuryam Ruslin,5,sangat menbantu,2026-03-02 12:15:03,sangat menbantu,"['sangat', 'menbantu']"
24 Novananda Purwahita,5,okela,2026-03-02 12:14:51,okela,['okela']
Vera Gopo,4,aplikasi nya bagus bisa untuk transfer byar apa pun tapi klau ke dana sering banget error!!,2026-03-02 12:14:31,aplikasi nya bagus bisa untuk transfer byar apa pun tapi klau ke dana sering banget error,"['aplikasi', 'nya', 'bagus', 'bisa', 'untuk', 'transfer', 'byar', 'apa', 'pun', 'tapi', 'klau', 'ke', 'dana', 'sering', 'banget', 'error']"
Marwan Sukses,5,oke,2026-03-02 12:14:10,oke,['oke']
Rikha Elshaarawy,5,bagus pokonnya,2026-03-02 12:13:26,bagus pokonnya,"['bagus', 'pokonnya']"
Yusman Benge,5,semoga kedepan potongannya lebih kecil lagi,2026-03-02 12:09:31,semoga kedepan potongannya lebih kecil lagi,"['semoga', 'kedepan', 'potongannya', 'lebih', 'kecil', 'lagi']"
Ilham Pratama,5,sangat bagus dan memudahkan untuk bertransaksi,2026-03-02 12:09:14,sangat bagus dan memudahkan untuk bertransaksi,"['sangat', 'bagus', 'dan', 'memudahkan', 'untuk', 'bertransaksi']"
Lamawai,5,sangat memudahkan,2026-03-02 12:08:57,sangat memudahkan,"['sangat', 'memudahkan']"
novita sari dewi,5,"mantap, dengan BRIMo segalanya jadi lancar dan mudah...",2026-03-02 12:08:50,mantap dengan brimo segalanya jadi lancar dan mudah,"['mantap', 'dengan', 'brimo', 'segalanya', 'jadi', 'lancar', 'dan', 'mudah']"
Septian Rinaldi,4,memudahkan nasabah untuk bertransaksi,2026-03-02 12:07:35,memudahkan nasabah untuk bertransaksi,"['memudahkan', 'nasabah', 'untuk', 'bertransaksi']"
Feri Hidayat,5,sangat membantu sekali trima kasih brimo,2026-03-02 12:07:20,sangat membantu sekali trima kasih brimo,"['sangat', 'membantu', 'sekali', 'trima', 'kasih', 'brimo']"
Salsa Salsa,3,brimo ku buram terus tidak bisa di buka,2026-03-02 12:06:55,brimo ku buram terus tidak bisa di buka,"['brimo', 'ku', 'buram', 'terus', 'tidak', 'bisa', 'di', 'buka']"
Yusuf Rerfiana,2,setiap buka brimo gk prnah bs sllu instal lg udh 3 kali instal lg in mau d buka gk bs lg,2026-03-02 12:03:21,setiap buka brimo gk prnah bs sllu instal lg udh  kali instal lg in mau d buka gk bs lg,"['setiap', 'buka', 'brimo', 'gk', 'prnah', 'bs', 'sllu', 'instal', 'lg', 'udh', 'kali', 'instal', 'lg', 'in', 'mau', 'd', 'buka', 'gk', 'bs', 'lg']"
GOXMET TRIO,5,sangat membantu sekali,2026-03-02 11:59:59,sangat membantu sekali,"['sangat', 'membantu', 'sekali']"
Andi Adel,5,sangat baik,2026-03-02 11:59:52,sangat baik,"['sangat', 'baik']"
Uphy Kelyombar,5,bagus asu,2026-03-02 11:59:27,bagus asu,"['bagus', 'asu']"
Jantaka Hanta yuda,5,Mantap Brimo,2026-03-02 11:56:48,mantap brimo,"['mantap', 'brimo']"
Ny. Setyani,5,"aplikasi yang sangat membantu, , selama pemakaian belum ada kendala...",2026-03-02 11:56:17,aplikasi yang sangat membantu  selama pemakaian belum ada kendala,"['aplikasi', 'yang', 'sangat', 'membantu', 'selama', 'pemakaian', 'belum', 'ada', 'kendala']"
Ridho Prasetyo,2,sinyal bagus tapi gak bisa di buka aplikasinya bikin emosiii,2026-03-02 11:55:24,sinyal bagus tapi gak bisa di buka aplikasinya bikin emosiii,"['sinyal', 'bagus', 'tapi', 'gak', 'bisa', 'di', 'buka', 'aplikasinya', 'bikin', 'emosiii']"
rohadi haryanto,5,nice,2026-03-02 11:54:25,nice,['nice']
Prandino L. Tobing,1,lemot,2026-03-02 11:53:28,lemot,['lemot']
Irsyadul Badry,1,apaan ini baru download ga bisa di buka,2026-03-02 11:53:12,apaan ini baru download ga bisa di buka,"['apaan', 'ini', 'baru', 'download', 'ga', 'bisa', 'di', 'buka']"
Roslina Harahap,4,lebih gampang dan aman,2026-03-02 11:53:07,lebih gampang dan aman,"['lebih', 'gampang', 'dan', 'aman']"
Edy Ruhiadi,5,bagus lancar untuk transaksi di brimo,2026-03-02 11:52:55,bagus lancar untuk transaksi di brimo,"['bagus', 'lancar', 'untuk', 'transaksi', 'di', 'brimo']"
Rama Qois Masrur,1,kenapa sih brimo ngk bsa login,2026-03-02 11:52:46,kenapa sih brimo ngk bsa login,"['kenapa', 'sih', 'brimo', 'ngk', 'bsa', 'login']"
Edi Junaedi,5,wah saya baru nyobain apk ini ternyata gampang banget cara pakainya banyak ke amanannya terjaga 2 langkah pasword dan pin mantap deh ga nyesel instal aplikasi ini cara transfernya juga gampang pokonya nih aplikasi membantu banget,2026-03-02 11:50:24,wah saya baru nyobain apk ini ternyata gampang banget cara pakainya banyak ke amanannya terjaga  langkah pasword dan pin mantap deh ga nyesel instal aplikasi ini cara transfernya juga gampang pokonya nih aplikasi membantu banget,"['wah', 'saya', 'baru', 'nyobain', 'apk', 'ini', 'ternyata', 'gampang', 'banget', 'cara', 'pakainya', 'banyak', 'ke', 'amanannya', 'terjaga', 'langkah', 'pasword', 'dan', 'pin', 'mantap', 'deh', 'ga', 'nyesel', 'instal', 'aplikasi', 'ini', 'cara', 'transfernya', 'juga', 'gampang', 'pokonya', 'nih', 'aplikasi', 'membantu', 'banget']"
Moh Nurul Ardiansyah,1,"sampah beban,gabisa login mulu,udh direstar,udh dihapus+ download ulang tetep mentok gak bisa login",2026-03-02 11:48:58,sampah bebangabisa login muluudh direstarudh dihapus download ulang tetep mentok gak bisa login,"['sampah', 'bebangabisa', 'login', 'muluudh', 'direstarudh', 'dihapus', 'download', 'ulang', 'tetep', 'mentok', 'gak', 'bisa', 'login']"
Munassar Munassar,5,Mantap,2026-03-02 11:48:51,mantap,['mantap']
Raikal Alfatih,3,ribet bnaget log innya susah masuk,2026-03-02 11:48:46,ribet bnaget log innya susah masuk,"['ribet', 'bnaget', 'log', 'innya', 'susah', 'masuk']"
Novan Aditya,2,"sering error knp ya , jaringan bagus tapi knp tidak bisa akses",2026-03-02 11:46:08,sering error knp ya  jaringan bagus tapi knp tidak bisa akses,"['sering', 'error', 'knp', 'ya', 'jaringan', 'bagus', 'tapi', 'knp', 'tidak', 'bisa', 'akses']"
Aresha Shakila,5,memudahkan untuk transaksi,2026-03-02 11:45:41,memudahkan untuk transaksi,"['memudahkan', 'untuk', 'transaksi']"
Yanuwar Akhmad,2,sering banget error kalo mau transaksi padahal sinyal bagus aja,2026-03-02 11:43:32,sering banget error kalo mau transaksi padahal sinyal bagus aja,"['sering', 'banget', 'error', 'kalo', 'mau', 'transaksi', 'padahal', 'sinyal', 'bagus', 'aja']"
Aidil Azhar,5,mantap,2026-03-02 11:42:13,mantap,['mantap']
ALVIN CANDRA AGUS PURNAMA,1,"eror mulu dah, gabisa transfer gara² eror",2026-03-02 11:40:10,eror mulu dah gabisa transfer gara eror,"['eror', 'mulu', 'dah', 'gabisa', 'transfer', 'gara', 'eror']"
Andre Saputra,5,lumayan bagus,2026-03-02 11:39:53,lumayan bagus,"['lumayan', 'bagus']"
Skpe,1,udah di update malah kagak bisa di buka aplikasi apaan ini..,2026-03-02 11:38:49,udah di update malah kagak bisa di buka aplikasi apaan ini,"['udah', 'di', 'update', 'malah', 'kagak', 'bisa', 'di', 'buka', 'aplikasi', 'apaan', 'ini']"
Ari Pradana,1,tingkatkan lagi kepedulian terhadap pengaduan nasabah,2026-03-02 11:37:16,tingkatkan lagi kepedulian terhadap pengaduan nasabah,"['tingkatkan', 'lagi', 'kepedulian', 'terhadap', 'pengaduan', 'nasabah']"
Qwerty 1234,1,tingkatkan lagi kecepatan pelayanan pengaduanya,2026-03-02 11:36:40,tingkatkan lagi kecepatan pelayanan pengaduanya,"['tingkatkan', 'lagi', 'kecepatan', 'pelayanan', 'pengaduanya']"
Ari Pradana,1,kasus lama selesai sudah 13 hari sejak pelaporan,2026-03-02 11:35:40,kasus lama selesai sudah  hari sejak pelaporan,"['kasus', 'lama', 'selesai', 'sudah', 'hari', 'sejak', 'pelaporan']"
Duwi Winarni,5,oke,2026-03-02 11:34:13,oke,['oke']
yogi wijayanto,5,"Berguna disaat terdesak, terima kasih",2026-03-02 11:33:55,berguna disaat terdesak terima kasih,"['berguna', 'disaat', 'terdesak', 'terima', 'kasih']"
Weripang23 Weripang23,5,sangat mudah dan gampang,2026-03-02 11:32:23,sangat mudah dan gampang,"['sangat', 'mudah', 'dan', 'gampang']"
eni sustyaningsih,5,sebagai pertama transfer uang sangat cepat,2026-03-02 11:32:08,sebagai pertama transfer uang sangat cepat,"['sebagai', 'pertama', 'transfer', 'uang', 'sangat', 'cepat']"
Ari Pradana,1,sudah 13 hari kasus saya ga selesai saldo terdebit namun pembayaran gagal sampai sekarang pengaduan pengembalian saldo saya belum selesai,2026-03-02 11:31:05,sudah  hari kasus saya ga selesai saldo terdebit namun pembayaran gagal sampai sekarang pengaduan pengembalian saldo saya belum selesai,"['sudah', 'hari', 'kasus', 'saya', 'ga', 'selesai', 'saldo', 'terdebit', 'namun', 'pembayaran', 'gagal', 'sampai', 'sekarang', 'pengaduan', 'pengembalian', 'saldo', 'saya', 'belum', 'selesai']"
Ali Rofiq,5,lebih mudah tanpa ribet .,2026-03-02 11:30:12,lebih mudah tanpa ribet ,"['lebih', 'mudah', 'tanpa', 'ribet']"
Horidatun Nadifah,5,bagus.,2026-03-02 11:26:48,bagus,['bagus']
Ayu Vivo,5,ok,2026-03-02 11:24:43,ok,['ok']
Qolbuiman Sejati (Iman),5,Mudah di manfaatkan,2026-03-02 11:20:54,mudah di manfaatkan,"['mudah', 'di', 'manfaatkan']"
Rizky sugiana,1,kenapa brimo sekarang jadi susah log in mau transaksi malah nyusahin.. ng blank terus... tolonglah perbaikan nya di maksimalkan biar lebih makin terbantu dengan kbutuhan transaksi yg lebih cepat..,2026-03-02 11:20:16,kenapa brimo sekarang jadi susah log in mau transaksi malah nyusahin ng blank terus tolonglah perbaikan nya di maksimalkan biar lebih makin terbantu dengan kbutuhan transaksi yg lebih cepat,"['kenapa', 'brimo', 'sekarang', 'jadi', 'susah', 'log', 'in', 'mau', 'transaksi', 'malah', 'nyusahin', 'ng', 'blank', 'terus', 'tolonglah', 'perbaikan', 'nya', 'di', 'maksimalkan', 'biar', 'lebih', 'makin', 'terbantu', 'dengan', 'kbutuhan', 'transaksi', 'yg', 'lebih', 'cepat']"
Suyono Pyon,5,oke terimakasih untuk semua produk layanan nya...,2026-03-02 11:16:57,oke terimakasih untuk semua produk layanan nya,"['oke', 'terimakasih', 'untuk', 'semua', 'produk', 'layanan', 'nya']"
Aples Billi,1,"Makin parah sihhh Sebelum nya aman aman saja,sekarang sudah makin parah,lama kelamaan jadi takut punya payrol disini MASALAHNYA KALAU TIDAK DI BLOKIR UANG NYA PASTI KEHILANGAN UANG NYA 🤦🏾‍♂️",2026-03-02 11:16:51,makin parah sihhh sebelum nya aman aman sajasekarang sudah makin parahlama kelamaan jadi takut punya payrol disini masalahnya kalau tidak di blokir uang nya pasti kehilangan uang nya ,"['makin', 'parah', 'sihhh', 'sebelum', 'nya', 'aman', 'aman', 'sajasekarang', 'sudah', 'makin', 'parahlama', 'kelamaan', 'jadi', 'takut', 'punya', 'payrol', 'disini', 'masalahnya', 'kalau', 'tidak', 'di', 'blokir', 'uang', 'nya', 'pasti', 'kehilangan', 'uang', 'nya']"
Deden Gimin,5,mantap👍👍👍,2026-03-02 11:13:28,mantap,['mantap']
Haikal Engkos,5,baik,2026-03-02 11:13:01,baik,['baik']
Kartiko Priyo,4,not bad laaah,2026-03-02 11:04:41,not bad laaah,"['not', 'bad', 'laaah']"
Tatang Ismaill,5,mantap meski saya baru belajar,2026-03-02 11:04:28,mantap meski saya baru belajar,"['mantap', 'meski', 'saya', 'baru', 'belajar']"
raskya,3,lagi dalam proses.tau bagus atau g,2026-03-02 10:58:08,lagi dalam prosestau bagus atau g,"['lagi', 'dalam', 'prosestau', 'bagus', 'atau', 'g']"
Akbar Sulistyo,5,kenapasi kalo sambil telfon brimo gk bisa dipake hadeh,2026-03-02 10:57:08,kenapasi kalo sambil telfon brimo gk bisa dipake hadeh,"['kenapasi', 'kalo', 'sambil', 'telfon', 'brimo', 'gk', 'bisa', 'dipake', 'hadeh']"
Novi puji Setyaningsih,5,memudahkan aplikasi nya makasih semoga selalu memuaskan upgrade nya,2026-03-02 10:57:07,memudahkan aplikasi nya makasih semoga selalu memuaskan upgrade nya,"['memudahkan', 'aplikasi', 'nya', 'makasih', 'semoga', 'selalu', 'memuaskan', 'upgrade', 'nya']"
Yunita Wahyu,5,praktis,2026-03-02 10:56:55,praktis,['praktis']
Riyadi Adi,5,sangat baik,2026-03-02 10:54:48,sangat baik,"['sangat', 'baik']"
Diah Riska,5,mempermudah transaksi,2026-03-02 10:52:11,mempermudah transaksi,"['mempermudah', 'transaksi']"
Ulil Amri,5,mantap,2026-03-02 10:49:28,mantap,['mantap']
Ali Almunjamil_9397,5,memuaskan,2026-03-02 10:49:01,memuaskan,['memuaskan']
D ito,1,"Makin ancur aja, pas update, ngeblank",2026-03-02 10:48:39,makin ancur aja pas update ngeblank,"['makin', 'ancur', 'aja', 'pas', 'update', 'ngeblank']"
Arul 1st,1,ngapa susah amat dibukanya si,2026-03-02 10:46:01,ngapa susah amat dibukanya si,"['ngapa', 'susah', 'amat', 'dibukanya', 'si']"
Ammar Hafidz,5,good folll,2026-03-02 10:45:48,good folll,"['good', 'folll']"
Zaujati nafilah,5,baik sekali,2026-03-02 10:40:59,baik sekali,"['baik', 'sekali']"
candra setiyawati084,5,Sangat membantu,2026-03-02 10:39:24,sangat membantu,"['sangat', 'membantu']"
eni andayani,5,pelayanan cepat. tranfer juga cepat,2026-03-02 10:36:45,pelayanan cepat tranfer juga cepat,"['pelayanan', 'cepat', 'tranfer', 'juga', 'cepat']"
Maro Sebastian,1,tolong dong aplikasinya gak bisa buka brimo pada saat telfonan/komunikasi.😒😒,2026-03-02 10:36:05,tolong dong aplikasinya gak bisa buka brimo pada saat telfonankomunikasi,"['tolong', 'dong', 'aplikasinya', 'gak', 'bisa', 'buka', 'brimo', 'pada', 'saat', 'telfonankomunikasi']"
Khauliahh1112 Putri,5,mantap,2026-03-02 10:35:56,mantap,['mantap']
Dedi onches,5,mantap,2026-03-02 10:26:52,mantap,['mantap']
NGOPI2,5,bagus lah,2026-03-02 10:26:50,bagus lah,"['bagus', 'lah']"
Yoseva handayani,5,sangat membantu,2026-03-02 10:23:42,sangat membantu,"['sangat', 'membantu']"
Rasumbut,1,emng kayak taik gak bisa verifikasi,2026-03-02 10:20:54,emng kayak taik gak bisa verifikasi,"['emng', 'kayak', 'taik', 'gak', 'bisa', 'verifikasi']"
Tedjo Kusuma,5,Akunnya sering hilang di layar jadi tiap mau buka harus buka aplikasi dan login lagi,2026-03-02 10:19:52,akunnya sering hilang di layar jadi tiap mau buka harus buka aplikasi dan login lagi,"['akunnya', 'sering', 'hilang', 'di', 'layar', 'jadi', 'tiap', 'mau', 'buka', 'harus', 'buka', 'aplikasi', 'dan', 'login', 'lagi']"
Aaliya AFARA,5,baik,2026-03-02 10:17:06,baik,['baik']
mahatma dewantoro,2,"tlp cal center sampe 6menit nunggu, mau laporan penipuan, pulsa habis duluan, padahal antrean pertama",2026-03-02 10:08:55,tlp cal center sampe menit nunggu mau laporan penipuan pulsa habis duluan padahal antrean pertama,"['tlp', 'cal', 'center', 'sampe', 'menit', 'nunggu', 'mau', 'laporan', 'penipuan', 'pulsa', 'habis', 'duluan', 'padahal', 'antrean', 'pertama']"
Mistini 123,5,satpam way panji sangat ramah membuat aplikasi birimo,2026-03-02 10:05:57,satpam way panji sangat ramah membuat aplikasi birimo,"['satpam', 'way', 'panji', 'sangat', 'ramah', 'membuat', 'aplikasi', 'birimo']"
Ihwan Udin,5,memudahkan dalam setiap transaksi keuangan,2026-03-02 10:02:22,memudahkan dalam setiap transaksi keuangan,"['memudahkan', 'dalam', 'setiap', 'transaksi', 'keuangan']"
Iyin Ciling,4,transaksi jadi lebih mudah,2026-03-02 10:00:25,transaksi jadi lebih mudah,"['transaksi', 'jadi', 'lebih', 'mudah']"
Su hendri,5,sangat memmbantu..tapi hacker di bkacklist habis ya boss,2026-03-02 09:59:39,sangat memmbantutapi hacker di bkacklist habis ya boss,"['sangat', 'memmbantutapi', 'hacker', 'di', 'bkacklist', 'habis', 'ya', 'boss']"
Saif Ibrahim,5,oke,2026-03-02 09:59:14,oke,['oke']
Grasella Surbakti,5,bagus banget,2026-03-02 09:58:57,bagus banget,"['bagus', 'banget']"
Agus Imam,5,"Sangat Membantu, Mempermudah Segala Hal, Semoga Konsisten, Makasih..",2026-03-02 09:58:01,sangat membantu mempermudah segala hal semoga konsisten makasih,"['sangat', 'membantu', 'mempermudah', 'segala', 'hal', 'semoga', 'konsisten', 'makasih']"
Dwi Lestari,4,bagus,2026-03-02 09:55:54,bagus,['bagus']
gagit laksi,1,aplikasi brimo sering lock sendiri proses transaksi jg lambat lemot payah,2026-03-02 09:55:05,aplikasi brimo sering lock sendiri proses transaksi jg lambat lemot payah,"['aplikasi', 'brimo', 'sering', 'lock', 'sendiri', 'proses', 'transaksi', 'jg', 'lambat', 'lemot', 'payah']"
Hidayatus,1,"aplikasi monyet, puasa puasa bikinnnnnn kesel aja luuuuu. Dibuka putiihhh muluu, kebelet chindo lu hahhhhhhhh",2026-03-02 09:49:17,aplikasi monyet puasa puasa bikinnnnnn kesel aja luuuuu dibuka putiihhh muluu kebelet chindo lu hahhhhhhhh,"['aplikasi', 'monyet', 'puasa', 'puasa', 'bikinnnnnn', 'kesel', 'aja', 'luuuuu', 'dibuka', 'putiihhh', 'muluu', 'kebelet', 'chindo', 'lu', 'hahhhhhhhh']"
Novi Sari,5,ok bagus,2026-03-02 09:47:32,ok bagus,"['ok', 'bagus']"
Thomas tomi pratama,5,good apk,2026-03-02 09:46:04,good apk,"['good', 'apk']"
Zubaidah saragih,1,"Aplikasi ccd, semua pengguna mempunyai kendala yg sama",2026-03-02 09:45:16,aplikasi ccd semua pengguna mempunyai kendala yg sama,"['aplikasi', 'ccd', 'semua', 'pengguna', 'mempunyai', 'kendala', 'yg', 'sama']"
Cakopik Aja,5,sangat membantu,2026-03-02 09:44:15,sangat membantu,"['sangat', 'membantu']"
Ferinus Zega,5,bagus,2026-03-02 09:43:38,bagus,['bagus']
Fajriyah Zainuddin Usman,5,pake brimo amat sangat membantu banget . terima ksh,2026-03-02 09:43:17,pake brimo amat sangat membantu banget  terima ksh,"['pake', 'brimo', 'amat', 'sangat', 'membantu', 'banget', 'terima', 'ksh']"
